Well Name,DrillingEdge URL
Atlanta 1-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-1-6h/33-105-02732
Atlanta 2-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-2-6h/33-105-02731
Atlanta 3-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-3-6h/33-105-02730
Atlanta 4-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-4-6h/33-105-02729
Atlanta Federal 5-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-5-6h/33-105-02728
Atlanta Federal 6-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-6-6h/33-105-02727
Atlanta Federal 7-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-7-6h/33-105-02726
Atlanta Federal 8-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-8-6h/33-105-02725
Atlanta Federal 9-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-9-6h/33-105-02724
Atlanta Federal 10-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-federal-10-6h/33-105-02723
Atlanta 11-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-11-6h/33-105-02722
Atlanta 12-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-12-6h/33-105-02721
Atlanta 13-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-13-6h/33-105-02720
Atlanta 14-6H,https://www.drillingedge.com/north-dakota/williams-county/wells/atlanta-14-6h/33-105-02719
ASH FEDERAL 5300 11-18T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/ash-federal-5300-11-18t/33-053-04211
Basic Game & Fish 34-3,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/basic-game-and-fish-34-3/33-053-02102
Buck Shot SWD 5300 31-31,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/buck-shot-swd-5300-31-31/33-053-90244
Chalmers 5300 21-19,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19/33-053-05046
Chalmers 5300 21-19 5T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-5t/33-053-06018
Chalmers 5300 21-19 6B,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-6b/33-053-06019
Chalmers 5300 21-19 8T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-8t/33-053-06021
Chalmers 5300 21-19 9B,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-9b/33-053-06023
Chalmers #5300 21-19 10T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-21-19-10t/33-053-06022
Chalmers 5300 31-19H,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5300-31-19h/33-053-03472
Chalmers 5301 44-24 2TR,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5301-44-24-2tr/33-053-05924
Chalmers 5301 44-24 3BR,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5301-44-24-3br/33-053-06010
Chalmers #5301 44-24 4T2,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-5301-44-24-4t2/33-053-05541
Chalmers Wade Federal 5301 44-24 12TXR,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/chalmers-wade-federal-5301-44-24-12txr/33-053-06012
Colville 5301 44-12T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/colville-5301-44-12t/33-053-04981
Columbus Federal 1-16H,https://www.drillingedge.com/north-dakota/williams-county/wells/columbus-federal-1-16h/33-105-02821
Corps of Engineers 31-19,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/corps-of-engineers-31-19/33-053-02149
Dahl Federal 2-15H,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/dahl-federal-2-15h/33-053-03756
Dahl Federal #15-11H,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/dahl-federal-15-11h/33-053-03703
EARSON SWD 5301 12-24,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/earson-swd-5301-12-24/33-053-90329
Foley Federal 43-12H,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/foley-federal-5301-43-12h/33-053-03608
Gramma Federal 5300 41-31 13T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/gramma-federal-5300-41-31-13t/33-053-06233
Gramma Federal 8300 41-31 128,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/gramma-federal-5300-41-31-12b/33-053-06232
Innoko 5301 41-127,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/innoko-5301-41-127/33-053-02931
Kilne Federal 5300 41-18,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-41-18-12t/33-053-06114
Kline Federal 5300 11-18,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-11-18h/33-053-03426
Kline Federal 5300 31-18 6B,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-31-18-6b/33-053-06057
Kline Federal #5300 31-18 7T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-31-18-7t/33-053-06056
Kline Federal 5300 31-18 8B,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-31-18-8b/33-053-06055
Kiine Federal 5300 31-18 15T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-31-18-15t/33-053-06755
Kline Federal #5300 11-18 2B,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-11-18-2b/33-053-06243
Kline Federal #5300 11-18 3T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-11-18-3t/33-053-06225
Kline Federal 5300 41-18 9T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-41-18-9t/33-053-06058
Kline Federal §300 41-18 13T2X,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/kline-federal-5300-41-18-13t/33-053-06059
Lewis & Clark 2-4H,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-clark-2-4h/33-053-02805
LEWIS FEDERAL 5300 (API 28194),https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-federal-5300-21-31t/33-053-04953
LEWIS FEDERAL 5300 (API 30189),https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-federal-5300-21-31b/33-053-04955
Lewis Federal 5300 11-31 3B,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/lewis-federal-5300-11-31-3b/33-053-06109
Magnum 1-36-25H,https://www.drillingedge.com/north-dakota/williams-county/wells/magnum-1-36-25h/33-105-03823
Magnum 2-36-25H,https://www.drillingedge.com/north-dakota/williams-county/wells/magnum-2-36-25h/33-105-03824
Magnum 3-36-25H,https://www.drillingedge.com/north-dakota/williams-county/wells/magnum-3-36-25h/33-105-03825
Tallahassee #3-16H,https://www.drillingedge.com/north-dakota/williams-county/wells/tallahassee-3-16h/33-105-02823
Wade Federal 5300 21-30H,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-21-30h/33-053-02856
Wade Federal 5300 31-30,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-31-30/33-053-05047
Wade Federal 5300 31-30 2B,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-31-30-2b/33-053-06001
Wade Federal 5300 41-30 7T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-41-30-7t/33-053-06000
Wade Federal 5300 21-30 12T,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-21-30-12t/33-053-06121
Wade Federal 5300 21-30 13B,https://www.drillingedge.com/north-dakota/mckenzie-county/wells/wade-federal-5300-21-30-13b/33-053-06122
